term,abbreviation,synonyms,related,definition,audience,images,uuid
absolute contraindication,,,"AIDS case definition, AIDS dementia complex, contraindication, relative contraindication",When a particular treatment or procedure should not be used under any circumstance because of the severe and potentially life-threatening risks involved.,Living with HIV,,a28a0f0d-dff3-4be6-9e45-7ffbc2efdbd9
acanthosis nigricans,,,,"A skin disorder characterized by velvety, light brown-to-black markings that develop mainly in the folds of the body, such as in the armpits, groin, and creases of the neck. Acanthosis nigricans can be an inherited condition or can occur as the result of an endocrine disorder, cancer, or use of certain medications.",Advanced,,edd72090-1f0c-4074-879d-98a233f47cbf
acquired immunity,,,"active immunity, immunity, passive immunity",Immunity that develops during a person’s lifetime. There are two types of acquired immunity: active immunity and passive immunity.,Living with HIV,,b9835a15-cd97-4385-8a2b-3a4afacff303
acquired immunodeficiency syndrome,AIDS,,"acute HIV infection, AIDS case definition, chronic HIV infection, HIV progression, human immunodeficiency virus","A disease of the immune system due to infection with HIV. HIV destroys the CD4 T lymphocytes (CD4 cells) of the immune system, leaving the body vulnerable to life-threatening infections and cancers. Acquired immunodeficiency syndrome (AIDS) is the most advanced stage of HIV infection. To be diagnosed with AIDS, a person with HIV must have an AIDS-defining condition or have a CD4 count less than 200 cells/mm³ (regardless of whether the person has an AIDS-defining condition).",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Acquired-Immunodeficiency-Syndrome-600.jpg | https://aidsinfo.nih.gov/images/glossaryimages/AIDS-Case-600.jpg,99c1f57b-fcf8-4ea7-bd1d-1006d6cce973
acquired resistance,,secondary resistance,"drug resistance, transmitted resistance",When a drug-resistant strain of HIV emerges while a person is on anti-retroviral therapy (ART) for the treatment of HIV infection.,Living with HIV,,b62375d2-25fb-4c31-bc77-ad668844a878
active immunity,,,"acquired immunity, passive immunity","Immunity that develops after exposure to a disease-causing infectious microorganism or other foreign substance, such as following infection or vaccination.",Living with HIV,,ddf114ff-ae21-44ee-8277-d90f0c339af3
acute HIV infection,,primary HIV infection,"acquired immunodeficiency syndrome, acute retroviral syndrome, chronic HIV infection, HIV progression, viral load","Early stage of HIV infection that extends approximately 1 to 4 weeks from initial infection until the body produces enough HIV antibodies to be detected by an HIV antibody test. During acute HIV infection, HIV is highly infectious because the virus is multiplying rapidly. The rapid increase in HIV viral load can be detected before HIV antibodies are present.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Acute-Infection-600.jpg,6c13be87-5f03-4dc7-ac82-f899b9dcbbfb
Acute Infection and Early Diseases Research Program,AIEDRP,,,A federally funded research program that studies how HIV infects humans and how the disease progresses to AIDS.,Advanced,,28863d51-e2b6-4791-8dab-72109a81aae6
acute retroviral syndrome,,,acute HIV infection,"Flu-like symptoms of acute HIV infection that may appear approximately 1 to 4 weeks after infection. Symptoms such as fever, headache, fatigue, and swollen lymph nodes can last from 1 to 4 weeks, and then subside. During the acute stage of HIV infection, many, but not all, people will have symptoms of acute retroviral syndrome.",Newly Infected,,fb68c2a3-5a4f-42ff-a8ba-39f9792346cb
adenopathy,,,lymph nodes,Large or swollen lymph glands.,Advanced,,cf91e4c0-1169-429c-b0d5-d073bc5717b8
adenovirus,,,virus,"A group of viruses that use DNA as their genetic material and commonly cause respiratory and eye infections. People with weakened immune systems, including people with HIV, have a greater risk for serious complications from an adenovirus infection than people with healthy immune systems.",Advanced,,ddb8b5dd-b5c5-4338-beac-77a86d2feb2b
adherence,,,"drug resistance, viral suppression, virologic failure","Taking medications (or other treatment) exactly as instructed by a health care provider. The benefits of strict adherence to an HIV regimen include sustained viral suppression, reduced risk of drug resistance, improved overall health and quality of life, and decreased risk of HIV transmission.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/adherence-600.jpg,ea2e9f61-91f8-4d8b-803b-5b72642857fb
adjuvant,,,,"A substance added to a drug or vaccine to enhance its effectiveness. Also, an additional drug or other intervention that is used to bolster an initial treatment.",Advanced,,a8260ee1-af24-43f1-971a-eee90b3417b2
adverse drug reaction,ADR,,AIDS case definition,"Any unintended, undesirable response to a drug taken at a normal dose for normal use. Adverse drug reactions (ADRs) are classified by onset, severity, and type.",Living with HIV,,4c8d3069-d9c6-4906-a95d-ca3647cb77ab
adverse event,AE,,adverse drug reaction,Any undesirable experience associated with the use of a drug or other medical product.,Living with HIV,,c7724458-3494-43b2-8b07-bfdac4113e91
agammaglobulinemia,,,gamma globulin,Total or near-total absence of gamma globulins in the blood. Gamma globulins are a class of blood proteins that include most antibodies. Agammaglobulinemia may be due to certain genetic diseases or to acquired diseases such as HIV/AIDS.,Advanced,,5b033c2c-ef64-4378-8206-eb79230cc0ac
